cnty_fips,display_name,poverty_perc,percent_inactive,percent_smoking,urban_rural_status,elderly_percentage,percent_high_blood_pressure,percent_coronary_heart_disease,percent_stroke,percent_high_cholesterol,percent_obesity,percent_diabetes
02013,"""Aleutians East, (AK)""",15.1,21.5,18.5,Rural,8.8,34.1,5.9,3.1,31.2,27.8,9.9
02016,"""Aleutians West, (AK)""",8.1,20,16.7,Rural,5.8,30.3,4.6,2.3,30.3,29.6,11.9
02020,"""Anchorage, (AK)""",8.3,17.9,15.7,Small City,10,28.8,4.9,2.5,29.4,31.1,7.2
02050,"""Bethel, (AK)""",25.3,22,34,Rural,7.1,36.2,8.1,5.1,28.7,33.8,9.4
02060,"""Bristol Bay, (AK)""",10.7,20.9,17.8,Rural,9.6,33.6,7.5,3.7,32.3,33.7,9.6
02068,"""Denali, (AK)""",6.4,16.7,17.4,Rural,7.3,30.9,5.7,2.7,30.9,16.1,6.5
02070,"""Dillingham, (AK)""",18.7,22.6,28.4,Rural,8.6,35.1,7.7,4.5,29.3,34.1,8.5
02090,"""Fairbanks North Star, (AK)""",7.2,20.4,15.7,Small City,9.2,28,4.7,2.3,27.5,32.3,7.7
02100,"""Haines, (AK)""",9.6,16.8,17.1,Rural,24.4,36.7,8.2,3.8,34.5,19.5,7.1
02105,"""Hoonah-Angoon, (AK)""",12.7,19.8,20.5,Rural,19.5,40.9,9.7,4.7,35.8,25.2,7.2
02110,"""Juneau, (AK)""",8.1,14.1,14.8,Rural,12,29.7,5.5,2.6,31.3,28.4,6.9
02122,"""Kenai Peninsula, (AK)""",10.6,20.4,18.5,Rural,15.6,35.9,7.4,3.4,34,30.9,7.8
02130,"""Ketchikan Gateway, (AK)""",8.3,19.9,16.8,Rural,14.1,33.7,6.5,3.1,31.4,34.9,8.9
02150,"""Kodiak Island, (AK)""",7.5,23.7,16.4,Rural,9.1,28.9,5.1,2.5,30,28.9,8.1
02164,"""Lake and Peninsula, (AK)""",17.6,21.9,25.1,Rural,7.9,37.5,7.7,4.3,31.7,30.1,8.4
02170,"""Matanuska-Susitna, (AK)""",8.7,21.4,18.8,Small City,10.7,32.1,5.9,2.8,31.9,34.4,7.5
02180,"""Nome, (AK)""",18.8,21.3,30.3,Rural,7.5,33.8,7.4,4.3,28.8,33.4,8.2
02185,"""North Slope, (AK)""",11.1,22.6,24.8,Rural,6.4,32.3,6.1,3.2,29.6,34.6,9.5
02188,"""Northwest Arctic, (AK)""",18.5,25.7,31.6,Rural,7.7,34.9,7.7,4.5,28.8,33.3,9.6
02195,"""Petersburg, (AK)""",7.4,21,17.1,Rural,21.5,33.9,7.1,3.3,34.8,22,6.8
02198,"""Prince of Wales-Hyder, (AK)""",15.9,17.5,23.7,Rural,14.8,39.6,9.3,4.7,35,28,8.6
02220,"""Sitka, (AK)""",7.4,20.2,15.4,Rural,14.5,32.2,6.2,2.9,31.1,27.8,8.7
02230,"""Skagway, (AK)""",3.8,18.2,18.3,Rural,11.3,31,5.7,2.7,30.8,21.3,7.8
02240,"""Southeast Fairbanks, (AK)""",11.7,19.1,18.7,Rural,12.9,33.3,6.9,3.3,33.5,31.4,7.7
02261,"""Valdez-Cordova, (AK)""",-1,19.6,-1,Rural,12.4,-1,-1,-1,-1,-1,-1
02158,"""Kusilvak, (AK)""",27.9,22,40.7,Rural,5.6,39.1,9.1,6,28.4,23.7,9.2
02275,"""Wrangell, (AK)""",10.6,18.4,18.8,Rural,22.1,39.4,9.2,4.3,37.3,25.6,9.2
02282,"""Yakutat, (AK)""",12.4,21.2,21,Rural,12.3,38.5,8.6,4.3,34,19.8,8.4
02290,"""Yukon-Koyukuk, (AK)""",20.5,23.6,28.6,Rural,13.6,38.9,9.8,5.5,32.4,26.4,8.9
06001,"""Alameda, (CA)""",8.6,15.6,10,Urban,13.1,25.7,4.8,2.4,28.8,25.5,7.7
06005,"""Amador, (CA)""",10.3,21.4,13.4,Rural,26.3,34.4,8.6,3.8,35.2,19.9,7.5
06007,"""Butte, (CA)""",17.3,20.7,14,Small City,17.7,29.3,7,3.3,29.9,26.7,7.4
06009,"""Calaveras, (CA)""",11.6,15.5,13.3,Rural,27,35.8,9.2,4.1,36.1,20.8,6.9
06011,"""Colusa, (CA)""",10.3,19.2,13.8,Rural,13.8,28,7,3.3,29.8,18.4,7.2
06013,"""Contra Costa, (CA)""",7.2,18,9.9,Suburban,15,26.5,5.5,2.7,29.2,24.5,7.9
06015,"""Del Norte, (CA)""",18.5,20.2,17.2,Rural,16.7,32.8,8.2,4,32.5,18.9,8.1
06017,"""El Dorado, (CA)""",8.4,16.1,11.3,Suburban,19.7,30.5,7.2,3.1,32.9,25.4,6.4
06021,"""Glenn, (CA)""",12.4,18.7,15.2,Rural,15.4,29.4,7.6,3.6,30.9,18,7.4
06023,"""Humboldt, (CA)""",15.8,13.9,14.7,Rural,16.7,30,7.4,3.5,30.2,29.2,9
06031,"""Kings, (CA)""",14.5,27,15,Small City,9.7,26.7,5.8,2.9,27.7,28.7,9
06033,"""Lake, (CA)""",15.9,22.5,15.9,Rural,21.7,35,9.2,4.3,34.1,24.4,7.8
06035,"""Lassen, (CA)""",15.5,21.9,17,Rural,13.3,29.1,6.9,3.4,29.6,17.6,7.7
06041,"""Marin, (CA)""",6,15.9,8.2,Suburban,21,27.7,6.4,2.8,31.8,17.2,6.1
06043,"""Mariposa, (CA)""",13.3,17.3,13.1,Rural,26.7,35.4,9.3,4.2,36.8,17.8,7.3
06045,"""Mendocino, (CA)""",14.3,18,14.2,Rural,20.4,32.6,8.6,4,31.9,23.2,7.5
06047,"""Merced, (CA)""",16.3,27.3,14.7,Small City,10.9,27.4,6.3,3.2,28.7,29.3,9.7
06049,"""Modoc, (CA)""",17.9,19,15.2,Rural,25.7,36.9,10.1,4.6,36.7,17.4,7.2
06053,"""Monterey, (CA)""",11.6,22.9,12.1,Small City,12.8,25.9,6.3,3,27.7,23.2,8.4
06055,"""Napa, (CA)""",7.9,16.6,10.6,Small City,18,27.7,6.5,2.9,30.9,17.6,6.7
06057,"""Nevada, (CA)""",9.2,15.1,11.1,Rural,25.4,33.2,8.1,3.5,36.9,19.5,5.8
06061,"""Placer, (CA)""",6.5,14,9.9,Suburban,18.7,28.1,6.2,2.8,33.1,23.6,6.1
06063,"""Plumas, (CA)""",13.5,18.3,12.5,Rural,26.7,35.9,9.1,4,36.8,17.6,7.5
06067,"""Sacramento, (CA)""",12.5,19.8,12.6,Urban,13.4,27.1,5.8,3,28.5,30.8,9.4
06069,"""San Benito, (CA)""",7.9,19.9,11.8,Suburban,12.1,26.3,5.7,2.7,29.1,18.9,8.7
06075,"""San Francisco, (CA)""",10,16,9.2,Urban,15.1,24.2,4.6,2.2,28,16.6,7.9
06077,"""San Joaquin, (CA)""",13.9,24.8,13.7,Small City,12.2,28.3,6,3.1,30.1,34,9.9
06079,"""San Luis Obispo, (CA)""",10.6,16.5,10.4,Small City,18.7,27.7,6.5,2.9,31,26.1,8.2
06081,"""San Mateo, (CA)""",5.5,13.9,8.6,Suburban,15.4,25,4.9,2.3,31.3,19.9,8.6
06083,"""Santa Barbara, (CA)""",10.5,19.4,10.7,Small City,14.6,24.7,6.1,2.8,28.2,26.2,8.6
06085,"""Santa Clara, (CA)""",6.6,17.4,8.4,Urban,12.8,23.1,4.4,2.2,26.9,18.6,8
06087,"""Santa Cruz, (CA)""",10.7,15.5,10.5,Small City,15,25.7,6,2.7,29,16.6,6.8
06089,"""Shasta, (CA)""",13.9,15.7,14.6,Small City,19.9,31.4,7.9,3.7,32.9,25.3,8.1
06091,"""Sierra, (CA)""",11.5,19.2,12.9,Rural,29.1,38.4,9.4,4.1,39.2,17.4,7.3
06093,"""Siskiyou, (CA)""",14.3,19.7,14.7,Rural,24,34.9,9.5,4.4,35.9,19.1,7.5
06095,"""Solano, (CA)""",9.3,23.3,11.6,Small City,14.7,27.8,5.8,3,29.5,28.5,9
06097,"""Sonoma, (CA)""",7.8,14.9,11.4,Small City,18.2,28,6.6,3,29.8,23.7,7.4
06099,"""Stanislaus, (CA)""",13,25.4,14.2,Small City,12.6,28.5,6.3,3.1,30.5,34.7,9.5
06101,"""Sutter, (CA)""",11.5,27.5,13.9,Small City,14.8,29.1,6.8,3.3,31.1,24,8.4
06103,"""Tehama, (CA)""",13.3,23.9,15.7,Rural,18.9,34.1,8.6,4.1,32.8,23,6.9
06105,"""Trinity, (CA)""",18,19.3,16.2,Rural,26.3,38.8,10.8,5,38.1,17.1,7.3
06109,"""Tuolumne, (CA)""",12.1,19.8,12.8,Rural,24.8,35.1,8.4,3.8,35.5,15.8,7.3
06113,"""Yolo, (CA)""",14.8,19.4,11,Suburban,11.8,24,5.1,2.5,25.5,24.3,7.9
06115,"""Yuba, (CA)""",16.3,20.5,15.2,Small City,12,26.9,6.3,3.1,29.5,21.3,7.9
15001,"""Hawaii, (HI)""",12.2,21.6,15.5,Rural,19.3,30.9,7.1,3.8,29.8,25.7,7.7
15003,"""Honolulu, (HI)""",8,21.2,11.4,Small City,16.9,30.1,4.9,3,30.7,24.5,9.1
15005,"""Kalawao, (HI)""",-1,21.5,9.4,Small City,16,40.8,9.1,4.9,33.4,17.1,8.9
15007,"""Kauai, (HI)""",9.9,20.8,12.7,Rural,18.8,29.7,6.5,3.4,29.1,22.7,7.1
15009,"""Maui, (HI)""",9.5,19.3,13.6,Small City,16.9,27.2,6,3.3,27.3,24,6.9
41003,"""Benton, (OR)""",15.7,18,11,Small City,15.1,24.5,5.3,2.5,26.3,21.5,5.8
41005,"""Clackamas, (OR)""",6.8,18.7,12.9,Suburban,17,32.1,5.9,2.8,31.2,30.1,7.3
41007,"""Clatsop, (OR)""",10.5,20.7,15.9,Rural,20.8,33.5,7.7,3.6,32.3,24.8,7.3
41009,"""Columbia, (OR)""",9.2,22.2,16.1,Suburban,17.9,32.8,7.1,3.4,31.7,32.4,9
41011,"""Coos, (OR)""",15.4,22.3,17.4,Rural,25,38.7,9.1,4.4,36.4,34.6,8.4
41013,"""Crook, (OR)""",10.3,19,16.8,Rural,24.6,37.2,8.4,4,34.3,26.4,7.8
41015,"""Curry, (OR)""",14.5,20.8,15.1,Rural,33.1,39.3,10,4.6,36.8,21.7,7.8
41017,"""Deschutes, (OR)""",8.1,19.5,13.6,Small City,19.1,30.4,6.5,3,32.1,23.5,6.2
41019,"""Douglas, (OR)""",13.3,22.1,16.9,Rural,24.6,35.7,8.8,4.2,35.3,31.2,7.9
41021,"""Gilliam, (OR)""",10.7,19.8,17,Rural,25.4,37.3,9.9,4.7,35.6,17.1,7.2
41027,"""Hood River, (OR)""",8.5,19.3,14,Rural,15,27.7,6.1,2.9,28.2,20.1,7.1
41029,"""Jackson, (OR)""",11.9,18.9,14.8,Small City,21,31.3,7.5,3.7,34.2,26.9,7.5
41031,"""Jefferson, (OR)""",12.5,24,17.5,Rural,18.5,32.7,7.8,3.9,32,24.5,8.2
41033,"""Josephine, (OR)""",15.8,22,17.4,Small City,25.3,36,9.5,4.6,36,27.3,7.1
41035,"""Klamath, (OR)""",19.7,22,17.4,Rural,20.2,34.6,8.3,4.2,33.3,29.1,7.5
41037,"""Lake, (OR)""",15.7,20.3,18.2,Rural,24.3,38.4,9.5,4.5,35,19.6,7.2
41039,"""Lane, (OR)""",14.5,19,15.1,Small City,18.3,29.3,6.7,3.3,30.4,32.8,8.4
41041,"""Lincoln, (OR)""",14.4,22.9,15.6,Rural,27.1,37.8,9.2,4.3,34.2,32.6,7.7
41043,"""Linn, (OR)""",11.3,24.5,17.1,Small City,17.9,32.7,7.2,3.5,28.7,36.2,9.1
41047,"""Marion, (OR)""",12.1,22.1,15.8,Small City,15,30,6.6,3.3,27.2,37.1,10.7
41051,"""Multnomah, (OR)""",11.2,16.8,14.7,Urban,12.6,26.2,4.7,2.5,27,25.8,7.6
41053,"""Polk, (OR)""",11.1,21.8,14.2,Small City,17.2,29.5,6.4,3,28.7,34.5,8.1
41055,"""Sherman, (OR)""",11.9,19.2,16.3,Rural,25.7,35.4,8.7,4,34.4,17.1,7.3
41057,"""Tillamook, (OR)""",10.8,21.7,15.7,Rural,24.4,35.2,8.4,3.9,33.3,26.8,7.3
41065,"""Wasco, (OR)""",12.4,22,16.5,Rural,20,31.7,7.6,3.6,31.7,30.5,8.3
41067,"""Washington, (OR)""",7.5,16.4,11.9,Suburban,12.6,26.4,4.7,2.4,26.9,30.9,7.9
41069,"""Wheeler, (OR)""",14,19.9,15.6,Rural,34.2,42.4,11,5.2,38.4,17,7
41071,"""Yamhill, (OR)""",8.7,20.4,15,Suburban,16.3,29,6.6,3.1,29.9,32.5,8.7
53007,"""Chelan, (WA)""",8.3,18.4,14.6,Small City,18.2,29.7,7.5,3.4,31.7,28.1,6.9
53009,"""Clallam, (WA)""",13.3,18.9,14.6,Rural,28,37.5,9.1,4.2,36.7,27.1,7.4
53011,"""Clark, (WA)""",8.7,15.7,13.6,Suburban,14.6,30,6.1,2.8,30.5,32.5,8
53015,"""Cowlitz, (WA)""",11.9,20.2,18.1,Small City,18.5,35.4,7.8,3.6,34,37.7,8.5
53027,"""Grays Harbor, (WA)""",15.1,21.3,18.3,Rural,20.3,37.1,8.7,4,37.5,33.9,10.5
53029,"""Island, (WA)""",6.5,17.2,12.5,Rural,23.4,32.7,7.3,3.2,33.1,28.6,7.8
53031,"""Jefferson, (WA)""",10.6,12.6,12.3,Rural,34.2,38.1,9.5,4.1,38.4,22.9,6.3
53033,"""King, (WA)""",7.6,13.9,9.6,Urban,12.7,26,4.4,2.2,29.1,22.9,6.5
53035,"""Kitsap, (WA)""",8.3,17.2,13.2,Small City,16.9,30.7,6,2.8,32.4,30.7,8.9
53037,"""Kittitas, (WA)""",12.9,16.8,14.8,Rural,15.3,26.8,6,2.9,27.1,26.7,8
53039,"""Klickitat, (WA)""",14,18.1,16.1,Rural,22.7,34.2,8.9,4.1,34.7,24.3,6.7
53041,"""Lewis, (WA)""",13.3,19.6,16.9,Rural,20.4,33.5,8.2,3.8,36.5,33,8.2
53045,"""Mason, (WA)""",12.6,21.3,16.9,Rural,22.1,36.7,8.4,3.9,36.1,32.5,8.5
53047,"""Okanogan, (WA)""",19.8,19.2,19.1,Rural,20.7,35.3,9.6,4.6,32.7,28,8.8
53049,"""Pacific, (WA)""",13.6,21.5,16.1,Rural,29.3,40.2,9.9,4.5,39.4,34.5,9.7
53053,"""Pierce, (WA)""",8.7,18.1,15,Suburban,13.2,33.1,5.5,2.8,33.5,33.2,9.7
53055,"""San Juan, (WA)""",9.6,12.8,10.3,Rural,31.9,34.6,8.4,3.6,37.2,16.5,4.7
53057,"""Skagit, (WA)""",9.5,15.1,13.6,Small City,19.7,28.9,7.1,3.3,34.6,28.1,6.7
53059,"""Skamania, (WA)""",10.6,19.5,16,Suburban,19.2,35.7,8.3,3.7,34.4,27.3,7.5
53061,"""Snohomish, (WA)""",7.1,17.7,13.6,Suburban,12.7,27.9,5.3,2.5,29.5,32.3,7.9
53067,"""Thurston, (WA)""",9.7,14.9,14.3,Small City,16.2,30.8,6.1,2.9,32,31,8.9
53069,"""Wahkiakum, (WA)""",10.7,20.3,14.5,Rural,33.2,40.4,9.7,4.3,40.4,30.4,10.4
53073,"""Whatcom, (WA)""",11.7,14.8,14.5,Small City,16.4,28.9,6.2,2.9,30.8,22.7,6.3
53077,"""Yakima, (WA)""",14.8,22,17,Small City,13.2,30.1,7.1,3.6,30.4,38,10.2
04001,"""Apache, (AZ)""",32.4,23.7,25.1,Rural,14.6,36.6,10,6.3,31,31.9,12.6
04003,"""Cochise, (AZ)""",14.6,23.2,16.1,Small City,21,35.8,8.2,3.8,34.5,31.4,8
04005,"""Coconino, (AZ)""",17.2,15.7,16.1,Small City,11.6,25.3,5.6,2.9,26.8,23.3,7.3
04007,"""Gila, (AZ)""",16.7,23.2,20.6,Rural,27.7,39.4,10.6,5,37.5,32.5,8
04009,"""Graham, (AZ)""",15.2,25,18.8,Rural,13.2,30.8,6.9,3.4,29.8,32.1,8.8
04011,"""Greenlee, (AZ)""",8.4,17.5,16.3,Rural,12.2,29.2,6,2.8,31.4,21.5,6.9
